Date;CLOSE
16.11.2018;1134,93
19.11.2018;1135,71
20.11.2018;1116,85
21.11.2018;1127,42
22.11.2018;1138,38
23.11.2018;1113,52
26.11.2018;1084,17
27.11.2018;1098,59
28.11.2018;1113,46
29.11.2018;1141,3
30.11.2018;1126,14
03.12.2018;1154,18
04.12.2018;1155,88
05.12.2018;1153
06.12.2018;1134,07
07.12.2018;1157,94
10.12.2018;1136,5
11.12.2018;1134,71
12.12.2018;1125,78
13.12.2018;1129,35
14.12.2018;1116,5
17.12.2018;1113,44
18.12.2018;1106,05
19.12.2018;1099,63
20.12.2018;1083,47
21.12.2018;1077,17
24.12.2018;1070,09
25.12.2018;1048,71
26.12.2018;1053,17
27.12.2018;1056,61
28.12.2018;1066,13
29.12.2018;1068,72
03.01.2019;1086,8
04.01.2019;1118,03
08.01.2019;1122,9
09.01.2019;1135,51
10.01.2019;1142,32
11.01.2019;1148,75
14.01.2019;1147,16
15.01.2019;1148,03
16.01.2019;1152,99
17.01.2019;1157,06
18.01.2019;1176,42
21.01.2019;1171,09
22.01.2019;1169,79
23.01.2019;1186,51
24.01.2019;1188,15
25.01.2019;1192,02
28.01.2019;1178,91
29.01.2019;1191,38
30.01.2019;1198,99
31.01.2019;1214,45
01.02.2019;1211,23
04.02.2019;1211,15
05.02.2019;1223,48
06.02.2019;1215,83
07.02.2019;1200,14
08.02.2019;1199,65
11.02.2019;1201,33
12.02.2019;1215,47
13.02.2019;1190,79
14.02.2019;1156,31
15.02.2019;1177,5
18.02.2019;1177,04
19.02.2019;1173,64
20.02.2019;1194,4
21.02.2019;1188,6
22.02.2019;1198,4
25.02.2019;1201,57
26.02.2019;1193,07
27.02.2019;1191,01
28.02.2019;1188,28
01.03.2019;1187,35
04.03.2019;1185,83
05.03.2019;1180,15
06.03.2019;1191,51
07.03.2019;1179,58
11.03.2019;1176,71
12.03.2019;1183,34
13.03.2019;1189,14
14.03.2019;1181,96
15.03.2019;1196,75
18.03.2019;1213,35
19.03.2019;1219,78
20.03.2019;1226,26
21.03.2019;1237,68
22.03.2019;1213,4
